Loading data to memory...
Loading data to memory done!
Loading data to scheduler...
Loading data to scheduler done!
Running scheduler...
pushing USDJPY 2014-06-11 17:16:24.637
pushing USDJPY 2014-06-11 17:16:26.357
pushing USDJPY 2014-06-11 17:16:27.043
pushing USDJPY 2014-06-11 17:16:28.057
pushing USDJPY 2014-06-11 17:16:45.950
pushing USDJPY 2014-06-11 17:16:46.980
pushing USDJPY 2014-06-11 17:16:52.480
pushing USDJPY 2014-06-11 17:16:52.823
pushing USDJPY 2014-06-11 17:16:53.510
pushing USDJPY 2014-06-11 17:17:03.480
pushing USDJPY 2014-06-11 17:17:07.260
pushing USDJPY 2014-06-11 17:17:07.607
pushing USDJPY 2014-06-11 17:17:07.950
pushing USDJPY 2014-06-11 17:17:08.293
pushing USDJPY 2014-06-11 17:17:08.980
pushing USDJPY 2014-06-11 17:17:09.323
pushing USDJPY 2014-06-11 17:17:11.043
pushing USDJPY 2014-06-11 17:17:12.073
pushing USDJPY 2014-06-11 17:17:15.510
pushing USDJPY 2014-06-11 17:17:15.857
pushing USDJPY 2014-06-11 17:17:16.527
pushing USDJPY 2014-06-11 17:17:18.590
pushing USDJPY 2014-06-11 17:17:32.340
pushing USDJPY 2014-06-11 17:17:32.683
pushing USDJPY 2014-06-11 17:17:36.120
pushing USDJPY 2014-06-11 17:17:37.840
pushing USDJPY 2014-06-11 17:17:57.107
pushing USDJPY 2014-06-11 17:17:57.447
pushing USDJPY 2014-06-11 17:17:57.807
pushing USDJPY 2014-06-11 17:18:06.043
pushing USDJPY 2014-06-11 17:19:05.510
pushing USDJPY 2014-06-11 17:19:05.853
pushing USDJPY 2014-06-11 17:19:15.463
pushing USDJPY 2014-06-11 17:19:27.510
pushing USDJPY 2014-06-11 17:19:29.573
pushing USDJPY 2014-06-11 17:20:16.667
pushing USDJPY 2014-06-11 17:20:21.120
pushing USDJPY 2014-06-11 17:20:21.480
pushing USDJPY 2014-06-11 17:20:41.760
pushing USDJPY 2014-06-11 17:21:44.650
pushing USDJPY 2014-06-11 17:22:46.540
pushing USDJPY 2014-06-11 17:25:27.413
pushing USDJPY 2014-06-11 17:25:32.570
pushing USDJPY 2014-06-11 17:26:14.850
pushing USDJPY 2014-06-11 17:26:38.553
pushing USDJPY 2014-06-11 17:26:58.850
pushing USDJPY 2014-06-11 17:27:09.163
pushing USDJPY 2014-06-11 17:27:29.447
pushing USDJPY 2014-06-11 17:27:29.787
pushing USDJPY 2014-06-11 17:27:49.023
pushing USDJPY 2014-06-11 17:27:50.740
pushing USDJPY 2014-06-11 17:27:51.087
pushing USDJPY 2014-06-11 17:28:04.850
pushing USDJPY 2014-06-11 17:28:10.710
pushing USDJPY 2014-06-11 17:28:26.507
pushing USDJPY 2014-06-11 17:28:26.837
pushing USDJPY 2014-06-11 17:29:48.663
pushing USDJPY 2014-06-11 17:30:09.630
pushing USDJPY 2014-06-11 17:30:31.960
pushing USDJPY 2014-06-11 17:30:35.053
pushing USDJPY 2014-06-11 17:30:36.083
pushing USDJPY 2014-06-11 17:30:40.913
pushing USDJPY 2014-06-11 17:31:30.067
pushing USDJPY 2014-06-11 17:32:28.850
pushing USDJPY 2014-06-11 17:32:54.647
pushing USDJPY 2014-06-11 17:32:54.973
pushing USDJPY 2014-06-11 17:32:56.007
pushing USDJPY 2014-06-11 17:33:02.177
pushing USDJPY 2014-06-11 17:34:23.660
pushing USDJPY 2014-06-11 17:34:44.630
pushing USDJPY 2014-06-11 17:35:45.800
pushing USDJPY 2014-06-11 17:35:55.787
pushing USDJPY 2014-06-11 17:35:56.113
pushing USDJPY 2014-06-11 17:35:57.833
pushing USDJPY 2014-06-11 17:36:01.973
pushing USDJPY 2014-06-11 17:36:02.317
pushing USDJPY 2014-06-11 17:36:04.037
pushing USDJPY 2014-06-11 17:36:08.847
pushing USDJPY 2014-06-11 17:36:09.177
pushing USDJPY 2014-06-11 17:36:11.597
pushing USDJPY 2014-06-11 17:36:11.940
pushing USDJPY 2014-06-11 17:36:13.317
pushing USDJPY 2014-06-11 17:36:16.410
pushing USDJPY 2014-06-11 17:36:16.737
pushing USDJPY 2014-06-11 17:36:17.097
pushing USDJPY 2014-06-11 17:36:17.440
pushing USDJPY 2014-06-11 17:36:19.503
pushing USDJPY 2014-06-11 17:36:37.723
pushing USDJPY 2014-06-11 17:36:42.520
pushing USDJPY 2014-06-11 17:36:42.863
pushing USDJPY 2014-06-11 17:38:10.880
pushing USDJPY 2014-06-11 17:38:11.227
pushing USDJPY 2014-06-11 17:38:11.930
pushing USDJPY 2014-06-11 17:38:12.273
pushing USDJPY 2014-06-11 17:38:15.357
pushing USDJPY 2014-06-11 17:38:15.700
pushing USDJPY 2014-06-11 17:38:19.500
pushing USDJPY 2014-06-11 17:38:20.187
pushing USDJPY 2014-06-11 17:38:20.533
pushing USDJPY 2014-06-11 17:38:22.250
pushing USDJPY 2014-06-11 17:38:26.033
pushing USDJPY 2014-06-11 17:38:29.127
pushing USDJPY 2014-06-11 17:38:30.157
pushing USDJPY 2014-06-11 17:38:39.767
pushing USDJPY 2014-06-11 17:38:42.877
pushing USDJPY 2014-06-11 17:38:43.203
pushing USDJPY 2014-06-11 17:38:45.267
pushing USDJPY 2014-06-11 17:38:45.627
pushing USDJPY 2014-06-11 17:38:45.970
pushing USDJPY 2014-06-11 17:38:49.063
pushing USDJPY 2014-06-11 17:38:49.750
pushing USDJPY 2014-06-11 17:38:53.877
pushing USDJPY 2014-06-11 17:38:55.250
pushing USDJPY 2014-06-11 17:38:55.580
pushing USDJPY 2014-06-11 17:38:56.627
pushing USDJPY 2014-06-11 17:38:58.673
pushing USDJPY 2014-06-11 17:39:00.063
pushing USDJPY 2014-06-11 17:39:00.390
pushing USDJPY 2014-06-11 17:39:02.813
pushing USDJPY 2014-06-11 17:39:04.533
pushing USDJPY 2014-06-11 17:39:05.220
pushing USDJPY 2014-06-11 17:39:08.313
pushing USDJPY 2014-06-11 17:39:15.533
pushing USDJPY 2014-06-11 17:39:15.877
pushing USDJPY 2014-06-11 17:39:16.203
pushing USDJPY 2014-06-11 17:39:16.547
pushing USDJPY 2014-06-11 17:39:30.657
pushing USDJPY 2014-06-11 17:39:31.000
pushing USDJPY 2014-06-11 17:39:33.750
pushing USDJPY 2014-06-11 17:40:44.217
pushing USDJPY 2014-06-11 17:41:12.407
pushing USDJPY 2014-06-11 17:43:26.123
pushing USDJPY 2014-06-11 17:43:40.907
pushing USDJPY 2014-06-11 17:43:45.717
pushing USDJPY 2014-06-11 17:43:46.060
pushing USDJPY 2014-06-11 17:45:09.593
pushing USDJPY 2014-06-11 17:45:15.780
pushing USDJPY 2014-06-11 17:45:20.937
pushing USDJPY 2014-06-11 17:46:02.857
pushing USDJPY 2014-06-11 17:46:23.827
pushing USDJPY 2014-06-11 17:46:25.217
pushing USDJPY 2014-06-11 17:46:25.543
pushing USDJPY 2014-06-11 17:46:49.623
pushing USDJPY 2014-06-11 17:47:06.467
pushing USDJPY 2014-06-11 17:47:10.937
pushing USDJPY 2014-06-11 17:47:31.560
pushing USDJPY 2014-06-11 17:48:10.747
pushing USDJPY 2014-06-11 17:48:27.577
pushing USDJPY 2014-06-11 17:48:53.717
pushing USDJPY 2014-06-11 17:48:58.527
pushing USDJPY 2014-06-11 17:49:26.027
pushing USDJPY 2014-06-11 17:49:26.717
pushing USDJPY 2014-06-11 17:49:37.717
pushing USDJPY 2014-06-11 17:49:57.653
pushing USDJPY 2014-06-11 17:50:59.870
pushing USDJPY 2014-06-11 17:52:01.747
pushing USDJPY 2014-06-11 17:52:36.793
